Today,DayType
20200426,Sunday
20200427,Normal
20200428,Normal
20200429,Normal
20200430,Normal
20200501,DayBeforeClose
20200502,Closed
20200503,Sunday
20200504,Normal
20200505,Normal
20200506,Normal
20200507,Normal
20200508,DayBeforeClose
20200509,Closed
20200510,Sunday
20200511,Normal
20200512,Normal
20200513,Normal
20200514,Normal
20200515,DayBeforeClose
20200516,Closed
20200517,Sunday
20200518,Normal
20200519,Normal
20200520,Normal
20200521,Normal
20200522,DayBeforeClose
20200523,Closed
20200524,Sunday
20200525,Normal
20200526,Normal
20200527,Normal
20200528,Normal
20200528,Normal
20200426,Sunday
20200427,Normal
20200428,Normal
20200429,Normal
20200430,Normal
20200501,DayBeforeClose
20200502,Closed
20200503,Sunday
20200504,Normal
20200505,Normal
20200506,Normal
20200507,Normal
20200508,DayBeforeClose
20200509,Closed
20200510,Sunday
20200511,Normal
20200512,Normal
20200513,Normal
20200514,Normal
20200515,DayBeforeClose
20200516,Closed
20200517,Sunday
20200518,Normal
20200519,Normal
20200520,Normal
20200521,Normal
20200522,DayBeforeClose
20200523,Closed
20200524,Sunday
20200525,Normal
20200526,Normal
20200527,Normal
20200528,Normal
20200521,Normal
20200522,DayBeforeClose
20200523,Closed
20200526,Normal
20200527,Normal
20200528,Normal
20200528,Normal
20200529,DayBeforeClose
20200529,DayBeforeClose
20200530,Closed
20200530,Closed
20200531,Sunday
20200601,Normal
20200602,Normal
20200603,Normal
20200604,Normal
20200605,DayBeforeClose
20200606,Closed
20200607,Sunday
20200608,Normal
20200609,Normal
20200610,Normal
20200611,Normal
20200612,DayBeforeClose
20200613,Closed
20200614,Sunday
20200615,Normal
20200616,Normal
20200617,Normal
20200618,DayBeforeClose
20200620,CLOSED
20200621,CLOSED
20200622,Normal
20200623,Normal
20200624,Normal
20200625,Normal
20200626,Normal
20200628,Sunday
20200629,Normal
20200630,Normal
20200701,Normal
20200702,Normal
20200703,Normal
20200705,Sunday
20200706,Normal
20200707,Normal
20200708,Normal
20200709,Normal
20200710,Normal
20200712,Sunday
20200713,Normal
20200714,Normal
20200715,Normal
20200716,Normal
20200717,Normal
20200719,Sunday
20200720,Normal
20200721,Normal
20200722,Normal
20200723,Normal
20200724,Normal
20200726,Sunday
20200727,Normal
20200728,Normal
20200729,Normal
20200730,Normal
20200731,Normal
20200802,Sunday
20200803,Normal
20200804,Normal
20200805,Normal
20200806,Normal
20200807,Normal
20200809,Sunday
20200810,Normal
20200811,Normal
20200812,Normal
20200813,Normal
20200814,Normal
20200816,Sunday
20200817,Normal
20200818,Normal
20200819,Normal
20200820,Normal
20200821,Normal
20200823,Sunday
20200824,Normal
20200825,Normal
20200826,Normal
20200827,Normal
20200828,Normal
20201026,Normal
20201027,Normal
20201028,Normal
20201029,Normal
20201030,Normal
20201101,Sunday
20201102,Normal
20201103,Normal
20201104,Normal
20201105,Normal
20201106,Normal
20201108,Sunday
20201109,Normal
20201110,Normal
20201111,Normal
20201112,Normal
20201113,Normal
20201114,Normal